dx1,dy1,dx2,dy2,dx3,dy3,dx4,dy4,dx5,dy5,dx6,dy6,dx7,dy7,dx8,dy8,dx9,dy9,dx10,dy10,Distance,Username
3,-58,74,-188,178,82,-18,261,-580,92,-403,-211,-266,-60,-130,-164,-94,-107,-133,-85,2542.088512,Zack
37,-197,800,864,859,-420,565,-362,-2345,789,331,167,1212,-638,-666,571,1164,322,-1950,-869,11439.57842,Zack
709,-247,275,247,407,-1041,-539,815,-593,-147,441,-2,236,-64,232,84,70,67,187,-166,5105.441225,Zack
185,-184,119,12,129,-52,49,68,88,124,80,-20,57,-25,58,2,-53,-46,-127,-53,1166.012872,Zack
-145,157,-138,46,-120,-43,-68,-36,-95,-57,-73,-113,-39,-16,-94,23,-67,21,-82,153,1191.639491,Zack
-102,-439,-118,72,-99,158,-37,109,-76,23,-13,-300,-22,-102,-274,52,-76,166,319,-358,2315.485282,Zack
647,92,158,-708,346,756,-940,51,-692,-709,-237,573,730,-151,1331,-673,246,-248,-44,19,7396.697299,Zack
-508,235,255,-257,-2068,529,-42,125,-9,23,-39,337,88,-187,609,-80,-78,-19,263,633,5138.812098,Zack
-497,-1079,-54,152,-4,-45,976,370,12,-30,84,685,85,-727,-35,311,35,290,24,126,4625.952056,Zack
-47,-405,-1439,-172,71,-200,0,2,328,783,625,-203,-127,203,1428,-1599,71,0,0,0,6031.533384,Zack
-1341,877,505,0,378,-9,62,-12,-766,-491,-358,-485,1106,-409,-3,37,669,-229,92,26,6080.279541,Zack
4,-31,0,0,-806,891,-329,35,-524,24,25,-87,67,-23,-6,-186,-11,-52,-5,99,2587.859536,Zack
-792,-253,36,48,13,-21,0,0,1249,158,158,-626,-157,106,-90,33,12,33,86,92,3267.055101,Zack
-10,29,76,1130,137,144,14,-5,-16,-6,-158,-72,-1278,-666,86,203,1598,576,-225,-21,5153.781596,Zack
-813,-1183,-119,824,-147,151,927,172,-12,51,42,5,-27,-4,-736,-185,0,0,112,-640,4952.141375,Zack
20,-100,207,532,-147,-206,-135,-197,-265,56,0,0,366,-865,351,323,71,64,-36,161,3112.384047,Zack
-923,173,173,541,154,-442,0,-1,0,0,359,-181,267,385,588,14,-251,-928,-415,281,4897.387572,Zack
24,173,-95,562,-27,148,-99,34,124,69,236,12,277,-194,-447,-363,973,-163,616,-254,3944.835718,Zack
-29,387,-4,127,8,101,-865,-1244,-452,0,-16,0,-232,0,387,0,-97,0,280,0,3595.641242,Zack
799,0,26,0,-389,471,-694,723,-1005,-255,99,-231,765,255,767,-611,326,627,-632,169,6874.106196,Zack
570,-265,-648,105,-268,-6,551,-143,1023,-507,37,-32,0,0,-9,0,-11,0,-39,80,3422.024274,Zack
0,0,1177,37,1382,-37,0,248,0,1351,0,0,-457,0,-2102,0,0,-9,0,-1061,7788.076628,Gunt
1978,0,581,0,0,694,0,905,0,0,-684,-13,-1875,13,0,-917,17,-682,2497,0,10813.38044,Gunt
-2150,850,-409,-16,0,-1583,291,0,2268,0,0,1599,-233,0,-2326,0,0,-5,11,-1594,12620.2764,Gunt
2559,10,0,1589,0,0,-2559,0,0,-46,0,-1553,866,0,1693,0,-88,1599,-129,0,12595.43922,Gunt
0,-1595,106,0,2453,0,-77,1537,77,62,-2559,0,18,-183,-18,-1416,919,0,1640,23,12509.94482,Gunt
-2436,0,113,-1599,113,0,2333,0,-10,1599,-65,0,-2484,0,0,-1086,40,-513,2519,0,14752.5762,Gunt
-1554,855,-1005,-118,185,-1481,1678,0,696,23,-65,1576,-2198,0,-296,-47,3,-1552,1158,0,13437.52456,Gunt
-115,1599,-2444,-20,0,-119,0,-1460,1860,0,699,12,-2,17,-156,1570,-1560,0,-841,-5,12181.17828,Gunt
1967,0,402,23,-23,1576,-85,0,-2451,-38,8,-483,-6,-1078,1024,85,1239,102,294,1412,11756.19889,Gunt
-2559,-1,0,-1598,107,0,2452,0,0,0,0,1599,-38,0,-2521,0,0,-377,0,-1222,12473.0002,Gunt
1955,1346,-236,253,-2323,-19,0,-308,49,-1272,1160,0,1350,2,0,151,-54,1446,-811,0,11542.56497,Gunt
65,-1598,1037,0,1457,2,0,1351,-3,246,-1777,0,-779,-87,38,-1512,319,0,2202,3,12284.66366,Gunt
-2,702,-64,0,-1847,0,-557,-52,-89,52,0,0,0,-699,24,-900,2535,0,0,955,8364.822456,Gunt
-2545,-91,0,-1508,8,0,1791,0,760,26,0,1573,-95,0,-2464,-11,0,-514,0,-1074,12334.09556,Gunt
2127,173,-18,1426,-136,0,-2405,-3,0,-650,28,-946,58,0,1738,0,735,15,0,1584,11812.7067,Gunt
-2559,-2,0,-1068,24,-529,235,0,2300,0,0,116,0,1476,0,7,-2009,0,-550,-16,10849.7776,Gunt
2536,0,0,28,-34,1571,-200,0,-2325,0,0,-116,100,-1483,1170,0,1289,0,0,1599,12320.7356,Gunt
-2378,-164,47,-1435,408,0,2104,0,0,995,-38,604,-1172,0,-1349,-90,109,-1509,270,0,12238.54261,Gunt
0,1599,-2559,0,0,-45,0,-1554,239,0,2320,0,-39,1599,11,0,-2531,0,0,-617,13074.47554,Gunt
2559,0,0,1599,-27,0,-2532,-5,0,-70,37,-1524,453,0,2069,0,0,640,0,959,12432.45402,Gunt
-2107,-68,0,-1531,214,0,2345,0,0,1240,-115,359,-1713,-17,-731,-137,0,-1445,7,0,11723.87796,Gunt
2278,0,0,0,-21,1599,4,0,-1904,0,-638,0,0,-1427,0,-172,594,0,1965,0,10581.13789,Gunt
-1078,106,-1481,0,0,-1599,0,0,2559,0,0,80,-61,1519,-73,0,-2425,-15,0,-328,11148.46968,Gunt
2503,0,56,27,-2,1572,-166,0,-2391,0,0,-354,0,-1245,0,0,1892,0,667,0,10852.1704,Gunt
-104,149,-1894,0,-237,-36,-220,-1383,-93,-180,50,0,2498,0,0,166,-19,1433,-170,0,8235.544748,Gunt
-322,-307,50,-1292,76,0,925,0,1508,0,0,34,0,1565,0,0,-660,0,-1899,-15,8404.922988,Gunt
54,-1578,196,0,2309,0,0,267,-34,1332,-41,0,-1027,0,-1170,0,-287,0,0,-1349,9557.357547,Gunt
2552,0,0,1599,-5,0,-1301,0,-1162,0,-91,-29,179,-1570,-42,0,-41,0,2463,0,10840.68036,Gunt
-53,1170,-48,0,-2458,0,0,-34,18,-1565,35,0,1367,0,1139,0,0,833,-11,766,9416.382301,Gunt
-2524,0,0,-909,0,-690,442,0,1637,0,480,0,0,971,0,628,-9,0,-1327,0,9617,Gunt
0,-1236,21,-347,55,0,186,0,2297,0,0,0,0,1080,0,519,0,0,-704,0,6424.634866,Gunt
0,-909,0,-690,37,0,2196,0,326,0,0,1469,-16,130,-159,0,-2384,0,0,-15,8315.980915,Gunt
8,0,1287,0,1264,0,0,0,-26,920,-27,679,-81,0,-2425,0,0,-8,0,-1311,7983.903925,Gunt
1784,0,731,0,0,0,-5,1599,-54,0,-2426,0,-74,0,0,-745,0,-854,795,0,9062.007817,Gunt
0,730,0,869,0,0,-1804,0,-755,0,0,-38,64,-1079,64,-482,15,0,289,0,6067.126785,Gunt
40,815,0,784,-4,0,-1541,0,-1014,0,0,0,0,-738,14,-861,18,0,392,0,6168.094818,Gunt
0,73,0,1414,-8,112,-259,0,-2179,0,-113,0,0,-1064,51,-535,28,0,2480,0,8259.710694,Gunt
-22,1522,-555,0,-1982,-107,0,-149,43,-1343,59,0,547,0,1898,0,12,0,0,712,8782.733344,Gunt
-140,0,-2419,0,0,-1,0,-126,0,-1472,0,0,264,0,2295,0,0,0,0,200,6917,Gunt
-98,0,-2176,0,-228,0,0,-11,0,-889,0,-699,0,0,431,0,1434,0,694,0,6660,Gunt
0,0,0,0,-525,234,-461,-3,-28,-447,-240,865,-372,-102,20,91,-27,3,1,-90,2977.425277,Wingus
916,-410,46,-6,24,29,50,-22,3,2,-1275,559,-67,-49,184,-167,13,105,-577,-73,3556.8873,Wingus
33,86,-7,24,149,313,721,-177,-923,14,0,-157,29,-17,541,195,-276,-386,408,207,3827.00012,Wingus
-40,-35,-11,-25,146,22,175,11,42,-2,440,-158,250,377,-5,-16,289,-521,-115,80,2118.011771,Wingus
-1024,-117,-39,-22,-12,-61,16,-59,3,-8,65,31,1118,683,-355,-163,-145,-15,-2,-20,3145.923486,Wingus
-220,223,45,-52,63,-45,-3,11,-2,8,307,-362,83,36,412,-346,91,-91,32,12,1745.097811,Wingus
93,571,-205,129,-298,161,-388,-174,-59,-73,3,16,458,207,34,113,-23,24,151,-6,2499.786341,Wingus
-37,-367,-93,-589,23,8,454,228,-49,-234,-63,16,-29,-6,682,580,857,-592,-89,197,3984.275351,Wingus
353,-56,-2,-5,0,0,17,35,0,2,-544,733,184,-391,103,-209,29,-28,-1,-3,2025.127713,Wingus
-53,-116,6,4,-422,-29,906,-227,131,-256,169,126,-369,226,-211,-115,80,30,2,3,2752.175688,Wingus
17,-28,4,4,-50,159,-850,284,-42,47,56,-132,-188,-51,-614,-183,-113,30,99,-166,2453.378789,Wingus
-17,-7,-299,332,-482,57,-52,38,-127,47,-43,-80,-345,-227,17,84,6,14,-10,206,1961.343326,Wingus
1404,-154,322,278,44,-28,-979,-207,4,6,32,48,49,98,-160,167,41,-65,1532,35,4905.616767,Wingus
109,-27,-156,76,-171,105,6,-28,-477,74,-44,-142,7,9,25,15,6,105,-2,8,1300.462508,Wingus
-11,-10,-6,-43,0,6,-115,-119,-195,-127,-375,-54,-4,15,59,-29,49,-37,1,15,999.0477025,Wingus
18,-383,-706,-832,-133,680,-11,-39,-51,936,401,-2,-611,-437,706,-398,1296,-195,-1703,-14,8121.690581,Zack
2274,-919,126,-83,-51,160,-1229,404,-681,92,516,33,1177,509,4,-152,-91,5,0,-18,6812.966633,Zack
421,-300,91,-182,0,8,577,352,-382,319,-1366,-382,-206,72,-19,11,-14,8,7,-80,3657.021911,Zack
329,-32,-83,-20,672,425,200,-242,-1,10,-88,-7,-806,-194,14,64,10,31,681,78,3235.878264,Zack
22,188,-137,70,216,394,581,-14,-68,-11,-29,0,-13,-2,1,-22,-270,-725,678,-48,2960.02336,Zack
119,-769,261,-21,-1490,345,-627,-39,2098,-306,3,0,52,0,-1138,1508,-1261,-625,307,-815,9540.328293,Zack
54,28,0,-10,9,60,-5,12,1,609,802,-107,112,-787,150,1090,730,107,-1461,-368,5702.242012,Zack
2,59,29,89,31,35,8,-31,1476,-691,-167,-2,60,91,155,570,-529,-42,1175,-993,4796.926345,Zack
-382,618,-538,-11,-854,-384,-141,238,163,675,388,282,669,-104,-666,-707,482,411,-1089,-2,7022.459127,Zack
-1261,534,-249,-786,1150,535,184,-69,244,159,-31,144,-108,-69,-1033,-501,-206,565,209,-634,6642.489606,Zack
510,164,458,39,118,-6,-68,165,-782,-31,-600,-179,1992,-1064,-64,-14,-1,0,-554,332,5671.469369,Zack
159,7,12,3,1,1,-87,16,96,-23,-96,144,-337,838,-72,220,48,56,-55,7,1797.085674,Zack
-80,-832,-885,84,134,-733,-259,5,83,262,842,767,-57,165,-1006,-329,-5,234,770,-285,6430.91752,Zack
755,-718,-150,713,-1190,-79,-201,-562,-405,446,-9,-572,0,-622,328,0,1711,0,520,0,7915.503069,Zack
